"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isPageAligned","Param: pages"
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite","avgt",1,5,21.686525,0.085934,"us/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:CPI","avgt",1,1,1.048789,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-load-misses","avgt",1,1,293.081679,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-loads","avgt",1,1,10180.739725,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-store-misses","avgt",1,1,10184.298493,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-stores","avgt",1,1,10165.619979,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-load-misses","avgt",1,1,0.254508,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-loads","avgt",1,1,16647.746268,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branch-misses","avgt",1,1,5.275870,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branches","avgt",1,1,1283.717478,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:cycles","avgt",1,1,43670.662851,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-load-misses","avgt",1,1,0.341642,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-loads","avgt",1,1,10128.690539,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-store-misses","avgt",1,1,0.069701,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-stores","avgt",1,1,10168.815553,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:iTLB-load-misses","avgt",1,1,0.338880,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:instructions","avgt",1,1,41639.114771,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-backend","avgt",1,1,14188.147135,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-frontend","avgt",1,1,631.389292,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite","avgt",1,5,21.680817,0.078979,"us/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:CPI","avgt",1,1,1.048895,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-load-misses","avgt",1,1,287.698941,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-loads","avgt",1,1,10004.492233,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-store-misses","avgt",1,1,9923.513290,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-stores","avgt",1,1,9984.622954,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-load-misses","avgt",1,1,0.443880,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-loads","avgt",1,1,16379.735753,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branch-misses","avgt",1,1,3.822626,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branches","avgt",1,1,1266.969899,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:cycles","avgt",1,1,42926.559822,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-load-misses","avgt",1,1,0.349429,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-loads","avgt",1,1,9956.414885,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-store-misses","avgt",1,1,0.046822,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-stores","avgt",1,1,9933.145735,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:iTLB-load-misses","avgt",1,1,0.195011,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:instructions","avgt",1,1,40925.509935,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-backend","avgt",1,1,13961.687495,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-frontend","avgt",1,1,626.368453,NaN,"#/op",false,8
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite","avgt",1,5,21.685512,0.072644,"us/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:CPI","avgt",1,1,1.045821,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-load-misses","avgt",1,1,290.605310,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-loads","avgt",1,1,10091.489426,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-store-misses","avgt",1,1,10114.346760,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-stores","avgt",1,1,10042.448521,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-load-misses","avgt",1,1,1.286207,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-loads","avgt",1,1,16896.289412,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branch-misses","avgt",1,1,3.910251,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branches","avgt",1,1,1272.909574,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:cycles","avgt",1,1,43535.319073,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-load-misses","avgt",1,1,0.443851,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-loads","avgt",1,1,10101.823407,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-store-misses","avgt",1,1,0.015854,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-stores","avgt",1,1,10049.511346,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:iTLB-load-misses","avgt",1,1,0.015437,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:instructions","avgt",1,1,41627.895841,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-backend","avgt",1,1,14128.593776,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-frontend","avgt",1,1,593.855227,NaN,"#/op",false,16
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite","avgt",1,5,21.691076,0.093163,"us/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:CPI","avgt",1,1,1.057849,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-load-misses","avgt",1,1,291.962095,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-loads","avgt",1,1,10178.916825,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-store-misses","avgt",1,1,10136.713469,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-stores","avgt",1,1,10139.626803,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-load-misses","avgt",1,1,1.246440,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-loads","avgt",1,1,16751.254599,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branch-misses","avgt",1,1,2.074665,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branches","avgt",1,1,1272.835819,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:cycles","avgt",1,1,44296.964984,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-load-misses","avgt",1,1,1.576558,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-loads","avgt",1,1,10156.306821,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-store-misses","avgt",1,1,0.098872,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-stores","avgt",1,1,10051.871321,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:iTLB-load-misses","avgt",1,1,0.297140,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:instructions","avgt",1,1,41874.544799,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-backend","avgt",1,1,14586.220546,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-frontend","avgt",1,1,675.550234,NaN,"#/op",false,32
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite","avgt",1,5,21.541413,0.078251,"us/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:CPI","avgt",1,1,1.043386,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-load-misses","avgt",1,1,288.140306,NaN,"#/op",false,128
