"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isPageAligned","Param: pages"
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite","avgt",1,20,5.368943,0.081638,"us/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:CPI","avgt",1,2,0.443813,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-load-misses","avgt",1,2,630.206087,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-loads","avgt",1,2,14272.623725,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-store-misses","avgt",1,2,1.435383,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-stores","avgt",1,2,13040.215093,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-load-misses","avgt",1,2,4.642296,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-loads","avgt",1,2,13114.703122,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:LLC-load-misses","avgt",1,2,0.103489,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:LLC-loads","avgt",1,2,0.578459,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:LLC-store-misses","avgt",1,2,0.067106,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:LLC-stores","avgt",1,2,0.449713,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branch-misses","avgt",1,2,1.771182,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branches","avgt",1,2,654.606554,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:cycles","avgt",1,2,16828.439031,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-load-misses","avgt",1,2,0.470026,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-loads","avgt",1,2,15929.422755,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-store-misses","avgt",1,2,0.513676,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-stores","avgt",1,2,13085.665360,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:iTLB-load-misses","avgt",1,2,0.163683,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:iTLB-loads","avgt",1,2,38000.634624,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:instructions","avgt",1,2,37916.467198,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-backend","avgt",1,2,152.472731,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-frontend","avgt",1,2,2932.254494,NaN,"#/op",false,4
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite","avgt",1,20,5.455921,0.287149,"us/op",false,8
